제작자,차명,생산기간,생산기간,리콜개시일,리콜사유
비엠더블유코리아(주),BMW X5 xDrive30d,2014-10-22,2015-10-24,2020-02-21,"배기가스재순환장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다.이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X6 M50d,2015-05-08,2015-05-08,2020-02-21,"배기가스재순환장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다.이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X6 xDrive30d,2014-08-07,2017-01-14,2020-02-21,"배기가스재순환장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다.이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),MINI Cooper D,2011-11-25,2011-11-25,2020-02-21,"배기가스재순환장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다.이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),MINI Cooper D Countryman,2012-03-26,2015-02-24,2020-02-21,"배기가스재순환장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다.이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),MINI Cooper D Countryman ALL4,2014-07-29,2015-03-12,2020-02-21,"배기가스재순환장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다.이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),MINI Cooper D five-door,2015-05-27,2015-05-27,2020-02-21,"배기가스재순환장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다.이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),MINI Cooper SD,2011-11-11,2011-11-11,2020-02-21,"배기가스재순환장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다.이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),MINI Cooper SD Countryman ALL4,2014-09-26,2014-09-26,2020-02-21,"배기가스재순환장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다.이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
현대자동차(주),GV80(JX),2020-01-07,2020-02-11,2020-02-27,"GV80 스마트스트림 D3.0 엔진 장착 차량에서 공회전 제한 시스템(ISG) 로직 설정 오류로 계기판에 ISG 경고 문구가 표출된 후 일부 조건에서 변속이 정상적으로 되지 않을 가능성 * ISG 경고 문구 : 'AUTO STOP 시스템 해제! P 또는 N단에서 시동을 거십시오' ※ 공회전 제한 시스템(ISG, Idle Stop and Go) : 정차 시 자동으로 엔진을 일시 정지 및 재시동하여 연비를 향상시키고 배출가스 발생을 억제하는 시스템"
화창상사(주),CHIEF CLASSIC,2013-11-07,2018-01-30,2019-12-31,"전기장치(기어 스위치) 접점의 산화로 인하여 저항 값이 변경되어 부정확한 기어단수(중립,1단) 신호가 계기판(디스플레이)에 잘못 표시 될수 있는 가능성"
화창상사(주),CHIEF DARK HORSE,2015-03-31,2019-05-20,2019-12-31,"전기장치(기어 스위치) 접점의 산화로 인하여 저항 값이 변경되어 부정확한 기어단수(중립,1단) 신호가 계기판(디스플레이)에 잘못 표시 될수 있는 가능성"
화창상사(주),CHEIF VINTAGE,2013-11-27,2019-06-04,2019-12-31,"전기장치(기어 스위치) 접점의 산화로 인하여 저항 값이 변경되어 부정확한 기어단수(중립,1단) 신호가 계기판(디스플레이)에 잘못 표시 될수 있는 가능성"
화창상사(주),CHIEFTAIN,2013-11-22,2019-04-09,2019-12-31,"전기장치(기어 스위치) 접점의 산화로 인하여 저항 값이 변경되어 부정확한 기어단수(중립,1단) 신호가 계기판(디스플레이)에 잘못 표시 될수 있는 가능성"
화창상사(주),CHIEFTAIN DARK HORSE,2016-08-17,2019-05-21,2019-12-31,"전기장치(기어 스위치) 접점의 산화로 인하여 저항 값이 변경되어 부정확한 기어단수(중립,1단) 신호가 계기판(디스플레이)에 잘못 표시 될수 있는 가능성"
화창상사(주),CHIEFTAIN LIMITED,2017-05-31,2019-05-30,2019-12-31,"전기장치(기어 스위치) 접점의 산화로 인하여 저항 값이 변경되어 부정확한 기어단수(중립,1단) 신호가 계기판(디스플레이)에 잘못 표시 될수 있는 가능성"
화창상사(주),ROADMASTER,2014-06-25,2019-06-06,2019-12-31,"전기장치(기어 스위치) 접점의 산화로 인하여 저항 값이 변경되어 부정확한 기어단수(중립,1단) 신호가 계기판(디스플레이)에 잘못 표시 될수 있는 가능성"
화창상사(주),ROADMASTER CLASSIC,2017-01-23,2017-04-28,2019-12-31,"전기장치(기어 스위치) 접점의 산화로 인하여 저항 값이 변경되어 부정확한 기어단수(중립,1단) 신호가 계기판(디스플레이)에 잘못 표시 될수 있는 가능성"
화창상사(주),ROADMASTER ELITE,2017-10-09,2019-03-05,2019-12-31,"전기장치(기어 스위치) 접점의 산화로 인하여 저항 값이 변경되어 부정확한 기어단수(중립,1단) 신호가 계기판(디스플레이)에 잘못 표시 될수 있는 가능성"
화창상사(주),SPRINGFIELD,2016-04-07,2019-05-07,2019-12-31,"전기장치(기어 스위치) 접점의 산화로 인하여 저항 값이 변경되어 부정확한 기어단수(중립,1단) 신호가 계기판(디스플레이)에 잘못 표시 될수 있는 가능성"
화창상사(주),SPRINGFIELD DARK HORSE,2017-10-27,2019-05-07,2019-12-31,"전기장치(기어 스위치) 접점의 산화로 인하여 저항 값이 변경되어 부정확한 기어단수(중립,1단) 신호가 계기판(디스플레이)에 잘못 표시 될수 있는 가능성"
(주) 다빈월드,HJ100T-7C,2016-08-24,2017-12-20,2020-03-02,배기량 변경으로 제원 정정을 하는 과정에서 담당자의 실수로 최고출력을 잘못 기재하여 2018년 자기인증적합조사에서 원동기 최고출력 부적합 판정을 받음
메르세데스벤츠코리아(주),AMG E 63 4MATIC+,2018-05-24,2019-07-25,2020-02-28,"공급업체의 생산 오류로 인해, 터보차저 오일 공급 호스가 사양에 맞지 않는 탄성 물질 구성으로 생산되었을 수 있습니다. 터보차저 오일 공급 호스의 녹는점이 설계값보다 낮아, 엔진 과열에 의해 녹을 수 있습니다."
메르세데스벤츠코리아(주),AMG S 63 4MATIC+ Coupe,2018-05-15,2018-05-18,2020-02-28,"공급업체의 생산 오류로 인해, 터보차저 오일 공급 호스가 사양에 맞지 않는 탄성 물질 구성으로 생산되었을 수 있습니다. 터보차저 오일 공급 호스의 녹는점이 설계값보다 낮아, 엔진 과열에 의해 녹을 수 있습니다."
메르세데스벤츠코리아(주),AMG S 63 4MATIC+ Cabriolet,2018-05-18,2018-06-11,2020-02-28,"공급업체의 생산 오류로 인해, 터보차저 오일 공급 호스가 사양에 맞지 않는 탄성 물질 구성으로 생산되었을 수 있습니다. 터보차저 오일 공급 호스의 녹는점이 설계값보다 낮아, 엔진 과열에 의해 녹을 수 있습니다."
메르세데스벤츠코리아(주),AMG S 63 4MATIC+ Long,2018-05-16,2018-11-15,2020-02-28,"공급업체의 생산 오류로 인해, 터보차저 오일 공급 호스가 사양에 맞지 않는 탄성 물질 구성으로 생산되었을 수 있습니다. 터보차저 오일 공급 호스의 녹는점이 설계값보다 낮아, 엔진 과열에 의해 녹을 수 있습니다."
메르세데스벤츠코리아(주),AMG GT 63 S 4MATIC+,2018-10-01,2019-02-06,2020-02-28,"공급업체의 생산 오류로 인해, 터보차저 오일 공급 호스가 사양에 맞지 않는 탄성 물질 구성으로 생산되었을 수 있습니다. 터보차저 오일 공급 호스의 녹는점이 설계값보다 낮아, 엔진 과열에 의해 녹을 수 있습니다."
메르세데스벤츠코리아(주),AMG G 63 4x4 2850,2018-07-09,2018-09-05,2020-02-28,"공급업체의 생산 오류로 인해, 터보차저 오일 공급 호스가 사양에 맞지 않는 탄성 물질 구성으로 생산되었을 수 있습니다. 터보차저 오일 공급 호스의 녹는점이 설계값보다 낮아, 엔진 과열에 의해 녹을 수 있습니다."
메르세데스벤츠코리아(주),GLE 400 d 4MATIC,2018-07-11,2018-07-29,2020-02-19,"공급업체의 개발 오류로 인해 머리지지대가 사양을 충족하지 못할 수 있습니다. 3열 승객들은 머리지지대 패딩의 두께가 충분하지 않아, 머리지지대 위치를 체형에 맞게 정상적으로 조정하지 않을 수 있습니다. 또한 머리지지대의 위치 고정 홈이 없을 수도 있습니다."
메르세데스벤츠코리아(주),GLE 450 4MATIC,2018-09-10,2018-09-18,2020-02-19,"공급업체의 개발 오류로 인해 머리지지대가 사양을 충족하지 못할 수 있습니다. 3열 승객들은 머리지지대 패딩의 두께가 충분하지 않아, 머리지지대 위치를 체형에 맞게 정상적으로 조정하지 않을 수 있습니다. 또한 머리지지대의 위치 고정 홈이 없을 수도 있습니다."
메르세데스벤츠코리아(주),AMG C 63,2015-12-17,2015-12-17,2020-02-19,"스프링 댐퍼 컨트롤 유닛의 소프트웨어 오류로 인해, 레벨 센서의 차량 높이를 올바르게 인식하지 못할 수 있습니다. 차내에 무거운 하중이 실리더라도 소프트웨어는 가벼운 무게로 인식합니다. 따라서 차체 뒤축은 더 낮아지게 되어 전조등 범위는 허용 오차를 벗어날 수 있습니다. 참고로, 전조등의 오토 레벨링 기능은 도로의 경사에 따라 조정되고 뒤축 하중에 따라 조정되는 것이 아닙니다."
메르세데스벤츠코리아(주),AMG C 63 S,2016-01-06,2016-01-06,2020-02-19,"스프링 댐퍼 컨트롤 유닛의 소프트웨어 오류로 인해, 레벨 센서의 차량 높이를 올바르게 인식하지 못할 수 있습니다. 차내에 무거운 하중이 실리더라도 소프트웨어는 가벼운 무게로 인식합니다. 따라서 차체 뒤축은 더 낮아지게 되어 전조등 범위는 허용 오차를 벗어날 수 있습니다. 참고로, 전조등의 오토 레벨링 기능은 도로의 경사에 따라 조정되고 뒤축 하중에 따라 조정되는 것이 아닙니다."
메르세데스벤츠코리아(주),AMG GT 63 4MATIC+,2018-06-21,2018-06-21,2020-02-19,조립 공정 오류로 인해 자동 변속기 배선 고정 클립이 정상적으로 장착되지 않았을 수 있습니다. 자동 변속기 배선이 구동축에 닿아 소음이 발생하고 시간이 지남에 따라 손상될 수 있습니다.
메르세데스벤츠코리아(주),AMG GT 63 S 4MATIC+,2018-06-18,2018-06-18,2020-02-19,조립 공정 오류로 인해 자동 변속기 배선 고정 클립이 정상적으로 장착되지 않았을 수 있습니다. 자동 변속기 배선이 구동축에 닿아 소음이 발생하고 시간이 지남에 따라 손상될 수 있습니다.
비엠더블유코리아(주),BMW 118d,2019-07-04,2019-12-14,2020-02-21,실 내외 조명 장치 등을 제어하는 Body Domain Controller(BDC)에 탑재된 소프트웨어에 오류가 있습니다.
(주) 한국모터트레이딩,XP530D-A(T-MAX DX),2017-03-11,2019-09-12,2020-03-13,메인 스탠드 용접 불량으로 인해 강도가 부족하게 만들어짐
(주) 한국모터트레이딩,YZF-R3A,2019-04-05,2019-04-08,2020-03-13,"경음기 배선과 브레이크 호스가 맞닿아 있어 핸들을 틀었을 때, 두 선 사이에 생기는 마찰로 경음기 배선이 마모될 가능성이 있습니다."
한불모터스(주),DS3 Crossback 1.5 BlueHDi,2019-09-20,2019-10-03,2020-03-03,"DS3 Crossback 1.5 BlueHDi 차량 보닛 안쪽에 위치한 냉각수 저장 탱크가 생산 공정상 조립 문제로 인해 탱크의 상,하 부품의 접착 불량으로 부품 사이에 틈이 발생하여 이로 인해 냉각수 누수가 발생할 수 있습니다. 냉각수 누수가 발생할 경우 과열된 엔진을 식히지 못해 엔진 과열 현상이 발생할 결함이 있으며 이는 안전운행에 지장을 줄 수 있습니다."
한불모터스(주),DS3 Crossback 1.5 BlueHDi,2019-06-13,2019-09-25,2020-03-03,"차량 양쪽 리어 브레이크 디스크 뒤쪽 부분에 위치한 리어 브레이크 호스라인이 호스 클립에 정확히 장착되어 있지 않을 가능성이 있어 차량 바퀴와의 간섭으로 인해 브레이크 호스가 손상될 수 있으며 이는 장기적으로 계기판에 ABS 경고등 점등, STOP 경고등 점등, 브레이크 성능의 저하를 초래 할 수 있습니다."
(주)에프엠케이,기블리 350,2015-06-26,2015-09-30,2020-03-23,스탑 & 고 기능 작동 직후 재시동 불가 1) 결함 있는 구조 장치 : 원동기(스탑 & 고) 2) 결함 원인 : 오토 스타트 결함(스탑&고 작동 시 재시동 불가 현상)은 과도한 전압강하로 인해 발생되며 이는 충분한 전류량이 흐를 수 없는 불충분한 주 양극 배선 사이즈로 인해 유발됨
(주)에프엠케이,기블리 S Q4,2015-07-03,2015-09-30,2020-03-23,스탑 & 고 기능 작동 직후 재시동 불가 1) 결함 있는 구조 장치 : 원동기(스탑 & 고) 2) 결함 원인 : 오토 스타트 결함(스탑&고 작동 시 재시동 불가 현상)은 과도한 전압강하로 인해 발생되며 이는 충분한 전류량이 흐를 수 없는 불충분한 주 양극 배선 사이즈로 인해 유발됨
(주)에프엠케이,콰트로포르테 350,2015-07-14,2015-10-09,2020-03-23,스탑 & 고 기능 작동 직후 재시동 불가 1) 결함 있는 구조 장치 : 원동기(스탑 & 고) 2) 결함 원인 : 오토 스타트 결함(스탑&고 작동 시 재시동 불가 현상)은 과도한 전압강하로 인해 발생되며 이는 충분한 전류량이 흐를 수 없는 불충분한 주 양극 배선 사이즈로 인해 유발됨
(주)에프엠케이,콰트로포르테 S Q4,2015-06-30,2015-10-09,2020-03-23,스탑 & 고 기능 작동 직후 재시동 불가 1) 결함 있는 구조 장치 : 원동기(스탑 & 고) 2) 결함 원인 : 오토 스타트 결함(스탑&고 작동 시 재시동 불가 현상)은 과도한 전압강하로 인해 발생되며 이는 충분한 전류량이 흐를 수 없는 불충분한 주 양극 배선 사이즈로 인해 유발됨
(주)에프엠케이,콰트로포르테 GTS,2015-07-08,2015-10-06,2020-03-23,스탑 & 고 기능 작동 직후 재시동 불가 1) 결함 있는 구조 장치 : 원동기(스탑 & 고) 2) 결함 원인 : 오토 스타트 결함(스탑&고 작동 시 재시동 불가 현상)은 과도한 전압강하로 인해 발생되며 이는 충분한 전류량이 흐를 수 없는 불충분한 주 양극 배선 사이즈로 인해 유발됨
비엠더블유코리아(주),K1600GT,2012-08-13,2012-08-13,2020-03-02,"제조 공정상의 오류로 부품간의 체결이 부정확하여 변속기 구성 부품인 단일기어(6단기어), 시프트포크(기어변속부품), 시프팅슬리브(시프트포크와 체결되는 부품)가 손상될 수 있는 가능성이 있습니다."
비엠더블유코리아(주),K1600GTL,2014-04-29,2014-04-29,2020-03-02,"제조 공정상의 오류로 부품간의 체결이 부정확하여 변속기 구성 부품인 단일기어(6단기어), 시프트포크(기어변속부품), 시프팅슬리브(시프트포크와 체결되는 부품)가 손상될 수 있는 가능성이 있습니다."
비엠더블유코리아(주),K1600GTL,2016-07-05,2016-07-05,2020-03-02,"제조 공정상의 오류로 부품간의 체결이 부정확하여 변속기 구성 부품인 단일기어(6단기어), 시프트포크(기어변속부품), 시프팅슬리브(시프트포크와 체결되는 부품)가 손상될 수 있는 가능성이 있습니다."
한불모터스(주),DS3 Crossback 1.5 BlueHDi,2019-01-24,2020-01-17,2020-03-09,"DS3 Crossback 1.5 BlueHDi 차량의 2열 좌석 안전띠 미장착 경고 장치 시험 시 2열 좌석의 탑승자가 안전띠를 미착용 했을 경우, 운전자에게 이를 인지하게 해주는 시 , 청각적 경고가 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제27조 제4항에서 정하는 기준에 부적합한 것으로 확인 되었습니다."
포르쉐코리아 주식회사,카이엔 디젤,2013-07-18,2015-04-28,2020-03-04,소프트웨어의 오류로 인해 차량 운행 시 특정 상황에서 엔진 이상 발생 가능성을 발견 하였습니다. 특정 상황: 높은 고도에서 운행하는 동안 급 가속 또는 내리막길 운행시 저RPM으로 운행되는 상황이 동시에 이루어 질 경우
비엠더블유코리아(주),BMW Active Tourer,2017-06-26,2017-06-26,2020-03-06,"2018 년 8 월 20 일부터 배기가스재순환장치 냉각기에 대하여 EGR 모듈 교체 방식을 통해 제작결함시정조치를 진행하고 있습니다. 다만, 배기가스재순환장치 냉각기에 대한 전세계적인 기술 조치를 점검하는 과정에서, 해외에서 판매되거나 수리 받은 이력이 있는 경우(11 대), 2017 년 6 월 이후 생산 차량에 2016 년 생산 냉각기가 장착된 경우(9 대) 및 2017 년 3 월 이후 생산 차량으로 냉각기 생산일이 확인되지 않아 2016 년 생산 냉각기가 장착되었을 가능성이 있는 경우(52 대)로 대상 차대가 일부 추가될 필요가 있음이 최근 확인되었습니다. 이에 따라 추가된 차량에 대하여 본건 리콜에 포함하여 실시하려 합니다."
비엠더블유코리아(주),BMW 320d,2015-04-27,2015-04-27,2020-03-06,"2018 년 8 월 20 일부터 배기가스재순환장치 냉각기에 대하여 EGR 모듈 교체 방식을 통해 제작결함시정조치를 진행하고 있습니다. 다만, 배기가스재순환장치 냉각기에 대한 전세계적인 기술 조치를 점검하는 과정에서, 해외에서 판매되거나 수리 받은 이력이 있는 경우(11 대), 2017 년 6 월 이후 생산 차량에 2016 년 생산 냉각기가 장착된 경우(9 대) 및 2017 년 3 월 이후 생산 차량으로 냉각기 생산일이 확인되지 않아 2016 년 생산 냉각기가 장착되었을 가능성이 있는 경우(52 대)로 대상 차대가 일부 추가될 필요가 있음이 최근 확인되었습니다. 이에 따라 추가된 차량에 대하여 본건 리콜에 포함하여 실시하려 합니다."
비엠더블유코리아(주),BMW 420d Gran Coupe,2017-06-19,2017-06-19,2020-03-06,"2018 년 8 월 20 일부터 배기가스재순환장치 냉각기에 대하여 EGR 모듈 교체 방식을 통해 제작결함시정조치를 진행하고 있습니다. 다만, 배기가스재순환장치 냉각기에 대한 전세계적인 기술 조치를 점검하는 과정에서, 해외에서 판매되거나 수리 받은 이력이 있는 경우(11 대), 2017 년 6 월 이후 생산 차량에 2016 년 생산 냉각기가 장착된 경우(9 대) 및 2017 년 3 월 이후 생산 차량으로 냉각기 생산일이 확인되지 않아 2016 년 생산 냉각기가 장착되었을 가능성이 있는 경우(52 대)로 대상 차대가 일부 추가될 필요가 있음이 최근 확인되었습니다. 이에 따라 추가된 차량에 대하여 본건 리콜에 포함하여 실시하려 합니다."
비엠더블유코리아(주),BMW 420d,2017-06-02,2017-06-02,2020-03-06,"2018 년 8 월 20 일부터 배기가스재순환장치 냉각기에 대하여 EGR 모듈 교체 방식을 통해 제작결함시정조치를 진행하고 있습니다. 다만, 배기가스재순환장치 냉각기에 대한 전세계적인 기술 조치를 점검하는 과정에서, 해외에서 판매되거나 수리 받은 이력이 있는 경우(11 대), 2017 년 6 월 이후 생산 차량에 2016 년 생산 냉각기가 장착된 경우(9 대) 및 2017 년 3 월 이후 생산 차량으로 냉각기 생산일이 확인되지 않아 2016 년 생산 냉각기가 장착되었을 가능성이 있는 경우(52 대)로 대상 차대가 일부 추가될 필요가 있음이 최근 확인되었습니다. 이에 따라 추가된 차량에 대하여 본건 리콜에 포함하여 실시하려 합니다."
비엠더블유코리아(주),BMW 520d xDrive,2016-10-06,2016-10-06,2020-03-06,"2018 년 8 월 20 일부터 배기가스재순환장치 냉각기에 대하여 EGR 모듈 교체 방식을 통해 제작결함시정조치를 진행하고 있습니다. 다만, 배기가스재순환장치 냉각기에 대한 전세계적인 기술 조치를 점검하는 과정에서, 해외에서 판매되거나 수리 받은 이력이 있는 경우(11 대), 2017 년 6 월 이후 생산 차량에 2016 년 생산 냉각기가 장착된 경우(9 대) 및 2017 년 3 월 이후 생산 차량으로 냉각기 생산일이 확인되지 않아 2016 년 생산 냉각기가 장착되었을 가능성이 있는 경우(52 대)로 대상 차대가 일부 추가될 필요가 있음이 최근 확인되었습니다. 이에 따라 추가된 차량에 대하여 본건 리콜에 포함하여 실시하려 합니다."
비엠더블유코리아(주),BMW 320d,2017-06-02,2017-06-19,2020-03-06,"2018 년 8 월 20 일부터 배기가스재순환장치 냉각기에 대하여 EGR 모듈 교체 방식을 통해 제작결함시정조치를 진행하고 있습니다. 다만, 배기가스재순환장치 냉각기에 대한 전세계적인 기술 조치를 점검하는 과정에서, 해외에서 판매되거나 수리 받은 이력이 있는 경우(11 대), 2017 년 6 월 이후 생산 차량에 2016 년 생산 냉각기가 장착된 경우(9 대) 및 2017 년 3 월 이후 생산 차량으로 냉각기 생산일이 확인되지 않아 2016 년 생산 냉각기가 장착되었을 가능성이 있는 경우(52 대)로 대상 차대가 일부 추가될 필요가 있음이 최근 확인되었습니다. 이에 따라 추가된 차량에 대하여 본건 리콜에 포함하여 실시하려 합니다."
비엠더블유코리아(주),BMW 320d EfficientDynamics Edition,2016-02-25,2016-02-25,2020-03-06,"2018 년 8 월 20 일부터 배기가스재순환장치 냉각기에 대하여 EGR 모듈 교체 방식을 통해 제작결함시정조치를 진행하고 있습니다. 다만, 배기가스재순환장치 냉각기에 대한 전세계적인 기술 조치를 점검하는 과정에서, 해외에서 판매되거나 수리 받은 이력이 있는 경우(11 대), 2017 년 6 월 이후 생산 차량에 2016 년 생산 냉각기가 장착된 경우(9 대) 및 2017 년 3 월 이후 생산 차량으로 냉각기 생산일이 확인되지 않아 2016 년 생산 냉각기가 장착되었을 가능성이 있는 경우(52 대)로 대상 차대가 일부 추가될 필요가 있음이 최근 확인되었습니다. 이에 따라 추가된 차량에 대하여 본건 리콜에 포함하여 실시하려 합니다."
비엠더블유코리아(주),BMW 320d Gran Turismo,2017-06-01,2017-06-20,2020-03-06,"2018 년 8 월 20 일부터 배기가스재순환장치 냉각기에 대하여 EGR 모듈 교체 방식을 통해 제작결함시정조치를 진행하고 있습니다. 다만, 배기가스재순환장치 냉각기에 대한 전세계적인 기술 조치를 점검하는 과정에서, 해외에서 판매되거나 수리 받은 이력이 있는 경우(11 대), 2017 년 6 월 이후 생산 차량에 2016 년 생산 냉각기가 장착된 경우(9 대) 및 2017 년 3 월 이후 생산 차량으로 냉각기 생산일이 확인되지 않아 2016 년 생산 냉각기가 장착되었을 가능성이 있는 경우(52 대)로 대상 차대가 일부 추가될 필요가 있음이 최근 확인되었습니다. 이에 따라 추가된 차량에 대하여 본건 리콜에 포함하여 실시하려 합니다."
